Agência Executiva de Gestão das Águas do Estado da Paraíba
Dados hidrológicos exportado em 13 de junho de 2025 às 11h24


Data de coleta;Volume (%);Volume (m³);Afluência/defluência
12/11/2024;3,86;1.732.540,00;-12.350,00
12/11/2024;3,86;1.732.540,00;-
13/11/2024;3,81;1.707.860,00;-24.680,00
13/11/2024;3,81;1.707.860,00;-
14/11/2024;3,75;1.683.170,00;-24.690,00
14/11/2024;3,75;1.683.170,00;-
15/11/2024;3,72;1.670.830,00;-12.340,00
15/11/2024;3,72;1.670.830,00;-
16/11/2024;3,70;1.658.480,00;-12.350,00
16/11/2024;3,70;1.658.480,00;-
17/11/2024;3,64;1.633.790,00;-24.690,00
17/11/2024;3,64;1.633.790,00;-
18/11/2024;3,61;1.621.450,00;-12.340,00
18/11/2024;3,61;1.621.450,00;-
19/11/2024;3,56;1.596.760,00;-24.690,00
19/11/2024;3,56;1.596.760,00;-
20/11/2024;3,53;1.584.420,00;-12.340,00
20/11/2024;3,53;1.584.420,00;-
21/11/2024;3,48;1.559.730,00;-24.690,00
21/11/2024;3,48;1.559.730,00;-
22/11/2024;3,45;1.547.390,00;-12.340,00
22/11/2024;3,45;1.547.390,00;-
23/11/2024;3,42;1.535.040,00;-12.350,00
23/11/2024;3,42;1.535.040,00;-
24/11/2024;3,39;1.522.700,00;-12.340,00
24/11/2024;3,39;1.522.700,00;-
25/11/2024;3,39;1.522.700,00;-
25/11/2024;3,39;1.522.700,00;-
26/11/2024;3,37;1.510.360,00;-12.340,00
26/11/2024;3,37;1.510.360,00;-
27/11/2024;3,31;1.485.670,00;-24.690,00
27/11/2024;3,31;1.485.670,00;-
28/11/2024;3,26;1.460.980,00;-24.690,00
28/11/2024;3,26;1.460.980,00;-
29/11/2024;3,23;1.448.640,00;-12.340,00
29/11/2024;3,23;1.448.640,00;-
30/11/2024;3,12;1.400.160,00;-48.480,00
30/11/2024;3,12;1.400.160,00;-
01/12/2024;3,09;1.384.300,00;-15.860,00
01/12/2024;3,09;1.384.300,00;-
02/12/2024;3,05;1.368.440,00;-15.860,00
02/12/2024;3,05;1.368.440,00;-
03/12/2024;3,01;1.352.580,00;-15.860,00
03/12/2024;3,01;1.352.580,00;-
04/12/2024;3,00;1.344.650,00;-7.930,00
04/12/2024;3,00;1.344.650,00;-
05/12/2024;2,98;1.336.720,00;-7.930,00
05/12/2024;2,98;1.336.720,00;-
06/12/2024;2,96;1.328.790,00;-7.930,00
06/12/2024;2,96;1.328.790,00;-
07/12/2024;2,94;1.320.860,00;-7.930,00
07/12/2024;2,94;1.320.860,00;-
08/12/2024;2,93;1.312.930,00;-7.930,00
08/12/2024;2,93;1.312.930,00;-
09/12/2024;2,91;1.305.000,00;-7.930,00
09/12/2024;2,91;1.305.000,00;-
10/12/2024;2,89;1.297.070,00;-7.930,00
10/12/2024;2,89;1.297.070,00;-
11/12/2024;2,87;1.289.140,00;-7.930,00
11/12/2024;2,87;1.289.140,00;-
12/12/2024;2,84;1.273.280,00;-15.860,00
12/12/2024;2,84;1.273.280,00;-
13/12/2024;2,80;1.257.420,00;-15.860,00
13/12/2024;2,80;1.257.420,00;-
14/12/2024;2,79;1.249.490,00;-7.930,00
14/12/2024;2,79;1.249.490,00;-
15/12/2024;2,77;1.241.560,00;-7.930,00
15/12/2024;2,77;1.241.560,00;-
16/12/2024;2,75;1.233.630,00;-7.930,00
16/12/2024;2,75;1.233.630,00;-
17/12/2024;2,73;1.225.700,00;-7.930,00
17/12/2024;2,73;1.225.700,00;-
18/12/2024;2,71;1.217.770,00;-7.930,00
18/12/2024;2,71;1.217.770,00;-
19/12/2024;2,68;1.201.910,00;-15.860,00
19/12/2024;2,68;1.201.910,00;-
20/12/2024;2,66;1.193.980,00;-7.930,00
20/12/2024;2,66;1.193.980,00;-
21/12/2024;2,64;1.186.050,00;-7.930,00
21/12/2024;2,64;1.186.050,00;-
22/12/2024;2,61;1.170.190,00;-15.860,00
22/12/2024;2,61;1.170.190,00;-
23/12/2024;2,57;1.154.330,00;-15.860,00
23/12/2024;2,57;1.154.330,00;-
24/12/2024;2,54;1.138.470,00;-15.860,00
24/12/2024;2,54;1.138.470,00;-
25/12/2024;2,50;1.122.610,00;-15.860,00
25/12/2024;2,50;1.122.610,00;-
26/12/2024;2,47;1.106.750,00;-15.860,00
26/12/2024;2,47;1.106.750,00;-
27/12/2024;2,43;1.090.890,00;-15.860,00
27/12/2024;2,43;1.090.890,00;-
28/12/2024;2,40;1.075.030,00;-15.860,00
28/12/2024;2,40;1.075.030,00;-
29/12/2024;2,38;1.067.100,00;-7.930,00
29/12/2024;2,38;1.067.100,00;-
30/12/2024;2,38;1.067.100,00;-
30/12/2024;2,38;1.067.100,00;-
01/01/2025;2,38;1.067.100,00;-
02/01/2025;2,38;1.067.100,00;-
03/01/2025;2,34;1.051.240,00;-15.860,00
04/01/2025;2,31;1.035.380,00;-15.860,00
05/01/2025;2,27;1.019.520,00;-15.860,00
06/01/2025;2,22;995.730,00;-23.790,00
07/01/2025;2,18;979.870,00;-15.860,00
08/01/2025;2,15;964.010,00;-15.860,00
09/01/2025;2,11;948.150,00;-15.860,00
10/01/2025;2,10;940.220,00;-7.930,00
11/01/2025;2,15;964.010,00;23.790,00
12/01/2025;2,22;995.730,00;31.720,00
13/01/2025;2,25;1.011.590,00;15.860,00
14/01/2025;5,18;2.325.040,00;1.313.450,00
15/01/2025;5,18;2.325.040,00;-
16/01/2025;5,15;2.312.700,00;-12.340,00
17/01/2025;5,13;2.300.360,00;-12.340,00
18/01/2025;5,18;2.325.040,00;24.680,00
19/01/2025;13,88;6.225.080,00;3.900.040,00
20/01/2025;14,98;6.719.950,00;494.870,00
21/01/2025;22,73;10.199.700,00;3.479.750,00
22/01/2025;23,30;10.452.500,00;252.800,00
23/01/2025;23,70;10.633.100,00;180.600,00
24/01/2025;23,70;10.633.100,00;-
25/01/2025;23,70;10.633.100,00;-
26/01/2025;23,70;10.633.100,00;-
27/01/2025;23,70;10.633.100,00;-
28/01/2025;27,00;12.113.800,00;1.480.700,00
29/01/2025;27,24;12.222.100,00;108.300,00
30/01/2025;27,40;12.294.400,00;72.300,00
31/01/2025;27,40;12.294.400,00;-
01/02/2025;27,32;12.258.300,00;-36.100,00
02/02/2025;27,32;12.258.300,00;-
03/02/2025;27,24;12.222.100,00;-36.200,00
04/02/2025;27,24;12.222.100,00;-
05/02/2025;27,16;12.186.000,00;-36.100,00
06/02/2025;27,32;12.258.300,00;72.300,00
07/02/2025;27,32;12.258.300,00;-
08/02/2025;27,24;12.222.100,00;-36.200,00
09/02/2025;27,24;12.222.100,00;-
10/02/2025;27,24;12.222.100,00;-
11/02/2025;27,16;12.186.000,00;-36.100,00
12/02/2025;27,08;12.149.900,00;-36.100,00
13/02/2025;27,00;12.113.800,00;-36.100,00
14/02/2025;27,00;12.113.800,00;-
15/02/2025;26,84;12.041.600,00;-72.200,00
16/02/2025;26,84;12.041.600,00;-
17/02/2025;26,76;12.005.500,00;-36.100,00
18/02/2025;26,76;12.005.500,00;-
19/02/2025;26,68;11.969.300,00;-36.200,00
20/02/2025;26,52;11.897.100,00;-72.200,00
21/02/2025;26,52;11.897.100,00;-
22/02/2025;26,44;11.861.000,00;-36.100,00
23/02/2025;26,52;11.897.100,00;36.100,00
24/02/2025;26,44;11.861.000,00;-36.100,00
25/02/2025;26,44;11.861.000,00;-
26/02/2025;26,36;11.824.900,00;-36.100,00
27/02/2025;26,28;11.788.800,00;-36.100,00
01/03/2025;26,12;11.716.500,00;-72.300,00
02/03/2025;26,12;11.716.500,00;-
03/03/2025;26,04;11.680.400,00;-36.100,00
04/03/2025;25,95;11.644.300,00;-36.100,00
05/03/2025;25,87;11.608.200,00;-36.100,00
06/03/2025;25,87;11.608.200,00;-
07/03/2025;25,87;11.608.200,00;-
08/03/2025;25,79;11.572.100,00;-36.100,00
09/03/2025;25,71;11.536.000,00;-36.100,00
10/03/2025;25,63;11.499.800,00;-36.200,00
11/03/2025;25,55;11.463.700,00;-36.100,00
12/03/2025;25,55;11.463.700,00;-
13/03/2025;25,55;11.463.700,00;-
14/03/2025;25,55;11.463.700,00;-
15/03/2025;25,47;11.427.600,00;-36.100,00
16/03/2025;25,39;11.391.500,00;-36.100,00
17/03/2025;25,31;11.355.400,00;-36.100,00
18/03/2025;25,23;11.319.300,00;-36.100,00
19/03/2025;25,23;11.319.300,00;-
20/03/2025;25,07;11.247.000,00;-72.300,00
21/03/2025;25,07;11.247.000,00;-
22/03/2025;24,99;11.210.900,00;-36.100,00
23/03/2025;24,99;11.210.900,00;-
24/03/2025;24,91;11.174.800,00;-36.100,00
25/03/2025;24,91;11.174.800,00;-
26/03/2025;24,83;11.138.700,00;-36.100,00
27/03/2025;24,83;11.138.700,00;-
31/03/2025;24,51;10.994.200,00;-144.500,00
01/04/2025;24,51;10.994.200,00;-
02/04/2025;24,51;10.994.200,00;-
03/04/2025;24,43;10.958.100,00;-36.100,00
04/04/2025;24,43;10.958.100,00;-
05/04/2025;24,34;10.922.000,00;-36.100,00
06/04/2025;24,18;10.849.800,00;-72.200,00
07/04/2025;24,02;10.777.500,00;-72.300,00
08/04/2025;24,02;10.777.500,00;-
09/04/2025;23,94;10.741.400,00;-36.100,00
10/04/2025;23,94;10.741.400,00;-
11/04/2025;23,94;10.741.400,00;-
12/04/2025;23,94;10.741.400,00;-
13/04/2025;23,94;10.741.400,00;-
14/04/2025;24,02;10.777.500,00;36.100,00
15/04/2025;24,02;10.777.500,00;-
16/04/2025;24,02;10.777.500,00;-
17/04/2025;23,94;10.741.400,00;-36.100,00
18/04/2025;23,86;10.705.300,00;-36.100,00
19/04/2025;23,78;10.669.200,00;-36.100,00
20/04/2025;23,70;10.633.100,00;-36.100,00
21/04/2025;23,62;10.597.000,00;-36.100,00
22/04/2025;23,62;10.597.000,00;-
23/04/2025;23,62;10.597.000,00;-
24/04/2025;23,54;10.560.900,00;-36.100,00
25/04/2025;23,46;10.524.700,00;-36.200,00
26/04/2025;23,38;10.488.600,00;-36.100,00
27/04/2025;23,30;10.452.500,00;-36.100,00
28/04/2025;23,22;10.416.400,00;-36.100,00
29/04/2025;23,22;10.416.400,00;-
30/04/2025;23,14;10.380.300,00;-36.100,00
05/05/2025;22,73;10.199.700,00;-180.600,00
06/05/2025;22,73;10.199.700,00;-
15/05/2025;22,17;9.946.900,00;-252.800,00
22/05/2025;22,09;9.910.790,00;-36.110,00
26/05/2025;21,93;9.838.550,00;-72.240,00
27/05/2025;21,93;9.838.550,00;-
28/05/2025;21,85;9.802.440,00;-36.110,00
29/05/2025;21,85;9.802.440,00;-
30/05/2025;21,85;9.802.440,00;-
31/05/2025;21,85;9.802.440,00;-
02/06/2025;21,63;9.706.340,00;-96.100,00
03/06/2025;21,57;9.676.350,00;-29.990,00
04/06/2025;21,57;9.676.350,00;-
05/06/2025;21,57;9.676.350,00;-
09/06/2025;21,37;9.586.370,00;-89.980,00
10/06/2025;21,37;9.586.370,00;-
11/06/2025;21,30;9.556.380,00;-29.990,00
